id(sha1);sha256;DDOS SCORE;family;size;bits;arch;bintype;endianess;lang;static;stripped;decompiled;DDOS Str score;dynamic IP;static IP;User agent;NET files;SYS files;PROC files;AUTOINSTALL bins;HIST files;SYS calls;while ratio;code suspect lines ration;functions;line/func ratio;whiles;source file
13c0ddbcd139d91669b94099dafb748be2f722e8;6a6cb357dfd9c902de1c3ed4284d8f81b7b0b96ea930ea081782b470d475d620;0.96;;107513;32;m68k;elf;big;c;1;0;0;71.33;1;1;1;1;1;1;1;1;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/760441a4-1f51-4ce8-bc4c-e5a0c3429f1e/stage2/bassbootspftp
13d74ea350aa821decd459a35ef0c38538837953;ace2dd85c62e6dad79f2481742bdd3a6937bed5e224272ce48e595235a3cb7df;0.76;Gafgyt;91493;32;x86;elf;little;c;1;0;1;74.67;1;1;1;1;1;1;1;1;0;22.71;1.78;252;234;149;../dataset2/NewMalware/files/760441a4-1f51-4ce8-bc4c-e5a0c3429f1e/stage2/bassbootsi686
13dc91d511cc61d569d90291ec08275ad6ec3286;c38e4f9bccf4848862a52ddb58615689a53d783359232b93469f215aedb7715b;0.18;;56552;32;arm;elf;little;c;1;0;1;9.33;0;0;0;0;1;0;0;0;0;22.49;1.49;278;284;278;../dataset2/NewMalware/files/4a8f54e0-ef18-43ae-8552-4e1cf668081a/stage1.dat
13f276de8f9ddff7f84be7922e6967af74e3bd23;70bef13e1e5a828793e87f6d23f60df8b64c61637a3a5b2cad603168b1833858;0.09;Mirai;54088;32;arm;elf;little;c;1;1;1;2.00;0;0;0;0;1;0;0;0;0;15.93;0.64;97;83;32;../dataset2/matsuta/70bef13e1e5a828793e87f6d23f60df8b64c61637a3a5b2cad603168b1833858
14047769459f5bd633f9f2932c19102befc22e73;22ea3aff1d7aa37d9b0c321d70fe4b178334900430b3ea07b01f02591457629f;0.13;Mirai;28860;64;x86;elf;little;c;1;0;0;7.33;0;0;0;0;1;1;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/fe3f11bb-4e7c-42c1-ba2e-cd41d3d8f7bf/stage1.dat
14e0708e8f5d3f482c86a6e481e11105c54a303d;b1160568678fb3b0f9a90f3c3c59a0c53e9870063865d2720440ac2af3062d9d;0.96;Gafgyt;136249;64;x86;elf;little;c;1;0;0;69.33;1;1;1;1;1;1;1;1;0;0.00;0.00;NA;NA;NA;../dataset2/NewMalware/files/58acf3ff-7c35-4036-8a96-cbc3677a3d88/stage2/void_x86_64
14e51f43c9cc58b53e5c86b7c0fd947588c8a963;fca83b6ad861f91f294f31690180fb3b5c4967ac7fab8ddad5fd2bf3dedbf490;0.74;Gafgyt;143285;32;arm;elf;little;c;1;0;1;72.67;1;1;1;1;1;1;1;1;0;18.46;1.45;292;258;174;../dataset2/NewMalware/files/75eb0d87-d70d-471b-a64f-4c7b4a29cecb/nut
1502071cd9ac12860483a77e40c0e6bcca551df0;c2e19fc37576f2f25e76d5ae1a6607f5adc3dd99eeba42fafc8e2473696a4e02;0.76;;93093;32;x86;elf;little;c;1;0;1;83.33;1;1;1;1;1;1;1;1;0;23.58;1.82;252;235;132;../dataset2/NewMalware/files/f7a2a6ff-d231-4072-ae75-179878595066/stage2/bassbootsftp
1511db8261419f951ed5ec9e1a00c8dc9d3f9dc8;2f00b4661627de826d6dd5d7c122a8ff7c1da810559e3d9b2302c1590fd7f04e;0.35;Tsunami;178410;64;x86;elf;little;c;1;0;0;67.33;0;1;0;1;1;0;0;0;0;0.00;0.00;NA;NA;NA;../dataset2/misc/0ab5a74b-3022-4a4d-80cc-ca11fa58d5e6.dat
152202d12c0d218455dcbd45436fd97d8fda0427;d3b4af1a0ae262421b64bff150319d7fcca5710b88f123278df2e882b6da3cf1;0.76;Gafgyt;96133;32;x86;elf;little;c;1;0;1;83.33;1;1;1;1;1;1;1;1;0;22.75;1.76;252;231;133;../dataset2/NewMalware/files/673abf15-d896-4803-b18d-14a66b9892ef/stage2/bassbootsi686
15fd4935619852b8e4314df73f03fe2a5cab079f;fe9b87143233d46fa5b69772d02454e4cd01425aa88f7354cdeecafedbbd8982;0.18;Mirai;43900;32;x86;elf;little;c;1;1;1;2.00;0;1;0;0;1;0;0;0;0;27.72;1.92;107;165;15;../dataset2/NewMalware/files/475ec484-2f66-48dc-8b10-4e3eec55c8d6/stage1.dat
160c795330cebe20e16c98a62c6776a9767db7cb;d062f3154979df9b9f062d713fbf4b492af4df55756befac2f6fb1a47480e7ab;0.18;Mirai;53852;32;x86;elf;little;c;1;1;1;8.67;0;0;0;0;1;0;0;0;0;29.90;1.09;117;182;37;../dataset2/NewMalware/files/d2812554-741b-45ec-8f67-87fb961a83dd/stage2/shinto.x86
16a5b22937f848914fbcf214f3f604ee681bb733;3c173c63920652b2e4896e3d24c44a91c7dd502d63257db19c7339d0d4f496d9;0.82;;172385;32;arm;elf;little;c;1;0;1;76.67;1;1;1;1;1;1;1;1;1;21.68;2.23;366;204;272;../dataset2/NewMalware/files/68a54e0c-d43c-4af1-a340-7f6eeebe4a55/stage2/tftp
